13	891	0.330606
13	982	0.318614
8	982	0.263457
24	983	0.253358
23	882	0.211716
31	820	0.205249
10	183	0.203720
31	611	0.200342
27	531	0.192009
24	796	0.181371
13	600	0.173668
31	982	0.166916
24	782	0.159906
37	295	0.159514
20	984	0.150004
27	577	0.146256
31	488	0.133868
13	855	0.127728
37	236	0.126080
5	898	0.125818
27	494	0.122948
2	566	0.122718
39	600	0.120098
2	673	0.118774
8	255	0.118542
10	905	0.115961
31	855	0.114165
39	689	0.112700
29	982	0.110108
31	782	0.110047
29	984	0.109602
27	131	0.109441
13	747	0.106657
31	835	0.103511
24	672	0.101740
31	981	0.098713
23	9	0.098191
14	919	0.097124
21	236	0.096756
10	859	0.096469
31	979	0.096202
37	981	0.095215
25	490	0.094863
10	296	0.094597
27	609	0.093881
21	418	0.092733
31	796	0.092437
2	236	0.091221
31	891	0.090446
27	981	0.090432
31	971	0.090004
5	984	0.089940
8	905	0.085845
23	612	0.085591
21	981	0.084884
26	295	0.084279
2	981	0.083288
28	547	0.082595
32	449	0.078786
5	131	0.078646
27	612	0.078078
27	629	0.077805
40	731	0.077399
20	477	0.076544
20	562	0.074692
31	863	0.073762
27	389	0.073541
16	723	0.072173
10	890	0.072047
14	148	0.071955
40	348	0.070720
27	119	0.069580
16	249	0.068703
30	974	0.066954
24	806	0.066700
11	533	0.065709
2	340	0.065121
24	820	0.065102
26	689	0.064920
31	561	0.064773
13	820	0.064561
27	859	0.064560
24	740	0.064436
29	490	0.064374
13	389	0.064134
31	131	0.063913
37	561	0.063712
32	163	0.062119
16	148	0.061778
25	751	0.061274
2	737	0.060951
13	230	0.060901
29	389	0.060182
27	155	0.059507
28	442	0.059419
32	236	0.059095
2	964	0.058964
5	562	0.058930
11	501	0.058552
5	982	0.058284
31	737	0.058020
24	752	0.057847
28	686	0.057825
14	887	0.057662
24	702	0.057350
24	982	0.056561
36	346	0.056433
23	719	0.056182
24	986	0.056104
14	236	0.056047
31	786	0.055749
31	551	0.055362
26	480	0.054939
13	863	0.054893
24	973	0.054692
2	739	0.054498
39	124	0.054384
24	855	0.054190
13	131	0.054112
37	737	0.053482
27	747	0.053344
32	919	0.053200
2	9	0.052780
23	539	0.051635
31	609	0.051611
5	286	0.051347
8	389	0.051326
39	389	0.050762
2	595	0.050710
5	490	0.050542
31	403	0.050462
2	719	0.049758
10	891	0.049678
30	891	0.049404
5	838	0.049324
40	531	0.048619
21	538	0.048518
31	672	0.048134
29	974	0.047480
13	477	0.047445
32	566	0.047233
37	340	0.046918
30	434	0.046206
2	538	0.046090
13	421	0.045918
27	562	0.045700
5	855	0.045685
27	793	0.045623
31	973	0.045318
2	473	0.045291
27	566	0.045211
5	974	0.045097
31	983	0.045052
20	446	0.044741
5	780	0.044704
31	907	0.044348
22	148	0.043988
27	599	0.043738
2	490	0.043597
24	971	0.043257
29	796	0.043059
30	389	0.042565
13	843	0.042315
27	673	0.042199
39	487	0.042189
10	982	0.041834
21	516	0.041510
25	548	0.041389
11	694	0.041361
27	441	0.041157
14	686	0.041154
36	694	0.040973
27	820	0.040641
28	561	0.040224
29	434	0.040108
37	702	0.040103
5	747	0.040081
25	828	0.040027
23	782	0.039968
2	563	0.039878
21	148	0.039566
10	855	0.039557
22	421	0.039248
39	100	0.039149
8	810	0.038948
16	796	0.038639
22	702	0.038497
27	962	0.038434
23	401	0.038405
21	702	0.038374
32	742	0.038353
21	867	0.038150
8	259	0.038116
25	570	0.038077
36	919	0.038060
2	587	0.038012
4	835	0.037926
14	411	0.037907
20	421	0.037904
39	264	0.037629
39	480	0.037548
36	973	0.037390
13	981	0.037020
2	551	0.037010
14	526	0.036705
20	387	0.036617
39	887	0.036592
23	403	0.036494
31	652	0.036176
31	693	0.036149
5	909	0.036113
13	971	0.035972
2	88	0.035955
20	561	0.035915
31	763	0.035796
31	962	0.035241
20	802	0.035168
31	893	0.035078
14	181	0.035045
5	652	0.034767
24	612	0.034692
30	531	0.034642
